n,allocates.time
0,4
500,44
1000,74
1500,99
2000,129
2500,160
3000,185
3500,211
4000,231
4500,260
5000,320
5500,317
6000,341
6500,372
7000,382
7500,430
8000,436
8500,476
9000,511
9500,554
